Domain,Journal,Instructions for paper preparation (link),Description,Archiving,Persistnt Link,License,Functionality,Project,Quality + Testing,Depedencies,Documentation,Application,Future Development 
Physical Sciences and Geosciences,AAS: The Astronomy Journal,https://journals.aas.org/data-guide/#source_codes,Explicit,3,3,3,1,1,1,3,3,1,1
Physical Sciences and Geosciences,AAS: The Astrophysical Journal,https://journals.aas.org/data-guide/#source_codes,Explicit,3,3,3,1,1,1,3,3,1,1
Physical Sciences and Geosciences,AAS: The Astrophysical Journal Supplement Series [example],https://journals.aas.org/data-guide/#source_codes,Explicit,3,3,3,1,1,1,3,3,1,1
Physical Sciences and Geosciences,Astronomy and Computing,https://www.elsevier.com/journals/astronomy-and-computing/2213-1337/guide-for-authors,Explicit,3,3,3,1,2,1,1,3,1,1
Physical Sciences and Geosciences,Communications in Computational Physics,http://www.global-sci.com/guide/guide.html?journal=cicp,None,1,1,1,1,1,1,1,0,0,0
Physical Sciences and Geosciences,Computational Astrophysics and Cosmology,https://comp-astrophys-cosmol.springeropen.com/submission-guidelines/preparing-your-manuscript/software-articles,Explicit,1,1,3,3,3,1,3,1,3,1
Physical Sciences and Geosciences,Computer Physics Communications,https://www.elsevier.com/journals/computer-physics-communications/0010-4655/guide-for-authors,Explicit,3,1,1,3,3,3,3,3,3,3
Physical Sciences and Geosciences,Computers and Geosciences [example],https://www.elsevier.com/journals/computers-and-geosciences/0098-3004/guide-for-authors,Implicit,1,1,1,1,1,1,1,0,0,0
Physical Sciences and Geosciences,Computing and Software for Big Science,https://www.springer.com/journal/41781/submission-guidelines,None,1,1,1,1,1,1,1,0,0,0
Physical Sciences and Geosciences,Environmental Modelling & Software (short communication) [example],https://www.elsevier.com/journals/environmental-modelling-and-software/1364-8152/guide-for-authors,Implicit,1,1,1,1,1,1,1,0,0,0
Physical Sciences and Geosciences,Geoscientific Model Development,https://www.geoscientific-model-development.net/about/manuscript_types.html,Explicit,3,3,3,3,1,3,3,3,3,3
Physical Sciences and Geosciences,International Journal of Quantum Chemistry,https://onlinelibrary.wiley.com/page/journal/1097461x/homepage/forauthors.html,Explicit,1,1,1,1,3,1,2,2,2,2
Physical Sciences and Geosciences,Journal of Applied Crystallography [example],https://journals.iucr.org/j/services/notesforauthors.html,Explicit,3,3,1,3,3,3,3,3,3,3
Physical Sciences and Geosciences,Journal of Chemical Theory and Computation,https://publish.acs.org/publish/author_guidelines?coden=jctcce#manuscript_types,None,1,1,1,1,1,1,1,0,0,0
Physical Sciences and Geosciences,Journal of Chemical Information and Modelling,https://publish.acs.org/publish/author_guidelines?coden=jcisd8#manuscript_types,Explicit,1,2,1,3,3,3,3,3,3,3
Physical Sciences and Geosciences,Journal of Cheminformatics,https://jcheminf.biomedcentral.com/submission-guidelines/preparing-your-manuscript/software,Explicit,2,3,3,3,1,1,3,2,1,1
Physical Sciences and Geosciences,Journal of Computational Chemistry (special articles - software news and updates),https://onlinelibrary.wiley.com/page/journal/1096987x/homepage/forauthors.html#anchor52,Implicit,1,1,1,1,1,1,1,0,0,0
Physical Sciences and Geosciences,Molecular Simulation,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gmos20#prep,None,1,1,1,1,1,1,1,0,0,0
Physical Sciences and Geosciences,Wiley Interdisciplinary Reviews: Computational Molecular Science (Software Focus) [example],https://wires.wiley.com/WileyCDA/Section/id-398153.html,Implicit,1,1,1,1,1,1,1,0,0,0
Life Sciences,American Journal of Human Genetics,https://www.cell.com/ajhg/authors#manuscriptformat,None,1,1,1,1,1,1,1,0,0,0
Life Sciences,Artificial Intelligence in Medicine,https://www.elsevier.com/journals/artificial-intelligence-in-medicine/0933-3657/guide-for-authors,None,1,1,1,1,1,1,1,0,0,0
Life Sciences,Artificial Life,https://www.mitpressjournals.org/journals/artl/sub,None,1,1,1,1,1,1,1,0,0,0
Life Sciences,Behaviour Research Methods [example],https://www.springer.com/journal/13428/submission-guidelines#Instructions%20for%20Authors_BEHAVIOR%20RESEARCH%20METHODS%20GENERAL%20INFORMATION,None,1,1,1,1,1,1,1,0,0,0
Life Sciences,Bioinformatics (Application Notes),https://academic.oup.com/bioinformatics/pages/instructions_for_authors,Implicit,1,1,1,1,1,1,1,0,0,0
Life Sciences,Bioinformatics and Biology Insights,https://journals.sagepub.com/author-instructions/BBI#WhatDoWePublish,Explicit,1,1,1,1,1,1,1,1,3,1
Life Sciences,Biophysical Journal,https://www.cell.com/pb/assets/raw/journals/society/biophysj/PDFs/author-guidelines.pdf#page=6,Explicit,1,3,3,2,2,1,1,1,1,1
Life Sciences,BMC Bioinformatics,https://bmcbioinformatics.biomedcentral.com/submission-guidelines/preparing-your-manuscript/software-article,Explicit,2,3,2,1,1,1,1,1,1,1
Life Sciences,BMC Neuroscience [example],https://bmcneurosci.biomedcentral.com/submission-guidelines/preparing-your-manuscript/software-article,Explicit,2,3,3,2,1,1,1,2,2,2
Life Sciences,BMC Source Code for Biology and Medicine,https://scfbm.biomedcentral.com/submission-guidelines/preparing-your-manuscript/software,Explicit,2,3,3,1,1,1,1,2,2,2
Life Sciences,Bone,https://www.elsevier.com/journals/bone/8756-3282/guide-for-authors,None,1,1,1,1,1,1,1,0,0,0
Life Sciences,Computer Methods and Programs in Biomedicine [example],https://www.elsevier.com/journals/computer-methods-and-programs-in-biomedicine/0169-2607/guide-for-authors,Implicit,1,1,1,1,1,1,1,0,0,0
Life Sciences,Current Protocols in Bioinformatics,https://currentprotocols.onlinelibrary.wiley.com/hub/journal/1934340x/authorguidelines/,Implicit,1,1,1,1,1,1,1,0,0,0
Life Sciences,Database: The Journal of Biological Databases and Curation,https://academic.oup.com/database/pages/About,None,1,1,1,1,1,1,1,0,0,0
Life Sciences,Ecography (Software Notes) [example],http://www.ecography.org/sites/ecography.org/files/files/software_note_guidelines_final.pdf,Explicit,1,3,3,3,3,3,3,3,3,1
Life Sciences,eLife (Tools and Resources) [example],https://reviewer.elifesciences.org/author-guide/types,Explicit,2,3,3,3,1,3,3,3,3,3
Life Sciences,Epidemiology,http://edmgr.ovid.com/epid/accounts/ifauth.htm,None,1,1,1,1,1,1,1,0,0,0
Life Sciences,Evolutionary Bioinformatics,https://journals.sagepub.com/author-instructions/EVB#ArticleTypes,Explicit,1,1,1,1,2,1,1,1,1,1
Life Sciences,F1000 Research,https://f1000research.com/for-authors/article-guidelines/software-tool-articles,Explicit,1,1,3,3,1,2,1,1,2,1
Life Sciences,Frontiers in Neuroinformatics,https://www.frontiersin.org/journals/neuroinformatics#article-types,Explicit,2,3,2,1,1,3,3,1,1,1
Life Sciences,Gigascience,https://academic.oup.com/gigascience/pages/editorial_policies_and_reporting_standards,Explicit,3,3,3,3,3,2,1,1,1,1
Life Sciences,â€‹Methods in Ecology and Evolution,https://besjournals.onlinelibrary.wiley.com/hub/journal/2041210x/author-guidelines#Article_types,Implicit,1,1,1,1,1,1,1,0,0,0
Life Sciences,Nature Methods [example],https://www.nature.com/nmeth/about/content,None,1,1,1,1,1,1,1,0,0,0
Life Sciences,Neurocomputing,https://www.elsevier.com/journals/neurocomputing/0925-2312/guide-for-authors,Explicit,3,3,3,1,1,1,1,1,1,1
Life Sciences,Neuroinformatics,https://www.springer.com/journal/12021/submission-guidelines#Instructions%20for%20Authors_Types%20of%20papers,Explicit,3,1,2,1,1,3,1,1,1,1
Life Sciences,Nucleic Acids Research (special issues),https://academic.oup.com/nar/pages/Criteria_Scope,Implicit,1,1,1,1,1,1,1,0,0,0
Life Sciences,PeerJ [example],https://peerj.com/about/author-instructions/,None,1,1,1,1,1,1,1,0,0,0
Life Sciences,PLoS Computational Biology: Software collection,https://journals.plos.org/ploscompbiol/s/submission-guidelines#loc-software-submissions,Explicit,3,1,3,3,2,3,3,3,3,1
Life Sciences,PLoS ONE,https://journals.plos.org/plosone/s/submission-guidelines#loc-guidelines-for-specific-study-types,Explicit,3,3,3,3,2,3,3,3,3,1
Life Sciences,Trends in Parasitology,https://www.cell.com/trends/parasitology/authors,None,1,1,1,1,1,1,1,0,0,0
"Informatics, Mathematics and Statistics",ACM Transactions on Mathematical Software,https://dl.acm.org/journal/toms/author-guidelines,Explicit,2,3,3,3,1,3,3,1,1,1
"Informatics, Mathematics and Statistics",Future Generation Computer Systems,https://www.elsevier.com/journals/future-generation-computer-systems/0167-739X/guide-for-authors,Implicit,1,1,1,1,1,1,1,0,0,0
"Informatics, Mathematics and Statistics",Journal of Machine Learning Research (Machine Learning Open Source Software track),https://jmlr.csail.mit.edu/author-info.html#Scope,Implicit,1,1,1,1,1,1,1,0,0,0
"Informatics, Mathematics and Statistics",Journal of Multiscale Modelling and Simulation,https://www.siam.org/publications/journals/multiscale-modeling-and-simulation-a-siam-interdisciplinary-journal-mms/instructions-for-authors#,None,1,1,1,1,1,1,1,0,0,0
"Informatics, Mathematics and Statistics",Journal of Parallel and Distributed Computing,https://www.elsevier.com/journals/journal-of-parallel-and-distributed-computing/0743-7315/guide-for-authors,None,1,1,1,1,1,1,1,0,0,0
"Informatics, Mathematics and Statistics",Journal of Software for Algebra and Geometry [example],https://msp.org/jsag/about/journal/submissions.html,Explicit,3,3,3,3,3,3,3,3,2,2
"Informatics, Mathematics and Statistics",Journal of Statistical Software,https://www.jstatsoft.org/pages/view/authors,Explicit,3,3,3,3,3,3,3,3,3,3
"Informatics, Mathematics and Statistics",Knowledge-Based Systems,https://www.elsevier.com/journals/knowledge-based-systems/0950-7051/guide-for-authors,None,1,1,1,1,1,1,1,0,0,0
"Informatics, Mathematics and Statistics",The Mathematica Journal [example],https://www.mathematica-journal.com/submit-article/,Explicit,2,3,2,2,1,3,3,2,2,1
"Informatics, Mathematics and Statistics",Mathematical Programming Computation,https://www.springer.com/journal/12532/submission-guidelines#contents,Implicit,1,1,1,1,1,1,1,0,0,0
"Informatics, Mathematics and Statistics",Numerical Algorithms,https://www.springer.com/journal/11075/submission-guidelines#Instructions%20for%20Authors_Manuscript%20submission,Implicit,1,1,1,1,1,1,1,0,0,0
"Informatics, Mathematics and Statistics",PeerJ Computer Science [example],https://www.springer.com/journal/11075/submission-guidelines#Instructions%20for%20Authors_Manuscript%20submission,None,1,1,1,1,1,1,1,0,0,0
"Informatics, Mathematics and Statistics",The R Journal,https://journal.r-project.org/share/author-guide.pdf,Explicit,1,1,1,1,1,3,1,3,3,1
"Informatics, Mathematics and Statistics",Science of Computer Programming [example],https://www.elsevier.com/journals/science-of-computer-programming/0167-6423/guide-for-authors,Explicit,3,3,3,3,1,2,2,2,3,2
"Informatics, Mathematics and Statistics",The Stata Journal [example],https://www.stata-journal.com/submissions/#types,Implicit,1,1,1,1,1,1,1,0,0,0
Image Processing,Image Processing On Line,https://www.ipol.im/meta/policy/,Explicit,3,3,3,3,3,3,3,3,3,3
Image Processing,Insight Journal,https://www.insight-journal.org/,Explicit,1,3,3,2,1,3,1,1,1,1
Humanities and Social Sciences,Digital Humanities Quarterly,http://www.digitalhumanities.org/dhq/submissions/index.html,Implicit,1,1,1,1,1,1,1,0,0,0
Humanities and Social Sciences,Journal of Artificial Societies and Social Simulation,http://jasss.soc.surrey.ac.uk/admin/submit.html,Implicit,1,1,1,1,1,1,1,0,0,0
Humanities and Social Sciences,Journal of Economic Dynamics and Control,https://www.elsevier.com/journals/journal-of-economic-dynamics-and-control/0165-1889/guide-for-authors,None,1,1,1,1,1,1,1,0,0,0
Humanities and Social Sciences,Social Science Computer Review,https://us.sagepub.com/en-us/nam/manuscript-submission-guidelines,None,1,1,1,1,1,1,1,0,0,0
Humanities and Social Sciences,Journal of Information Technology and Politics ,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=witp20,None,1,1,1,1,1,1,1,0,0,0
Engineering ,Advances in Engineering Software,https://www.elsevier.com/journals/advances-in-engineering-software/0965-9978/guide-for-authors,Implicit,1,1,1,1,1,1,1,0,0,0
Engineering ,Coastal Engineering,https://www.elsevier.com/journals/coastal-engineering/0378-3839/guide-for-authors,None,1,1,1,1,1,1,1,0,0,0
Engineering ,Renewable Energy,https://www.elsevier.com/journals/renewable-energy/0960-1481/guide-for-authors,None,1,1,1,1,1,1,1,0,0,0
General,Computing in Science & Engineering,https://www.computer.org/publications/author-resources/peer-review/magazines,Implicit,1,1,1,1,1,1,1,0,0,0
General,Concurrency and Computation: Practice and Experience,https://onlinelibrary.wiley.com/page/journal/15320634/homepage/forauthors.html,None,1,1,1,1,1,1,1,0,0,0
General,Journal of Open Research Software,https://openresearchsoftware.metajnl.com/about/submissions/,Explicit,2,3,3,1,1,3,1,1,1,1
General,The Journal of Open Source Software [example],https://joss.readthedocs.io/en/latest/submitting.html,Explicit,1,1,3,1,1,1,2,3,3,2
General,Journal of Software: Practice and Experience,https://onlinelibrary.wiley.com/page/journal/1097024x/homepage/forauthors.html,Explicit,1,1,1,1,1,1,1,1,1,1
General,Research Ideas and Outcomes (RIO),https://riojournal.com/about#WhatCanIPublish,Implicit,1,1,1,1,1,1,1,0,0,0
General,SIAM Journal on Scientific Computing (SISC) Software section,https://www.siam.org/publications/journals/siam-journal-on-scientific-computing-sisc/instructions-for-authors,Implicit,1,1,1,1,1,1,1,0,0,0
General,SoftwareX,https://www.elsevier.com/journals/softwarex/2352-7110/guide-for-authors,Explicit,3,3,3,1,1,3,1,3,3,1